customer_id,region,tenure_months,contract_type,internet_type,payment_method,monthly_charges,total_charges,churn
CUST00039,East,16,One year,DSL,Credit card,74.27,1145.72,No
CUST00040,North,19,Month-to-month,No,Mailed check,61.84,1064.84,No
CUST00041,North,45,Month-to-month,DSL,Electronic check,54.08,2394.62,No
CUST00042,South,30,Two year,No,Mailed check,107.9,2925.34,No
CUST00043,East,52,Two year,No,Mailed check,45.21,2393.49,No
CUST00044,North,60,Month-to-month,No,Credit card,53.67,3294.52,No
CUST00045,South,3,One year,Fiber optic,Bank transfer,106.16,332.82,Yes
CUST00046,West,68,Month-to-month,DSL,Bank transfer,36.21,2571.56,Yes
CUST00047,North,55,Month-to-month,Fiber optic,Credit card,79.83,4288.41,Yes
CUST00048,South,32,Month-to-month,Fiber optic,Mailed check,55.15,1606.84,No
CUST00049,East,40,One year,DSL,Bank transfer,69.73,2789.29,No
CUST00050,East,70,Month-to-month,Fiber optic,Credit card,87.09,6312.24,No
CUST00051,East,51,Month-to-month,DSL,Bank transfer,39.44,2047.37,No
CUST00052,East,59,Month-to-month,Fiber optic,Credit card,98.96,6095.39,No
CUST00053,North,36,Month-to-month,Fiber optic,Bank transfer,27.53,1033.5,Yes
CUST00054,East,28,Two year,DSL,Electronic check,42.97,1168.59,No
CUST00055,North,58,Month-to-month,Fiber optic,Mailed check,91.27,5069.19,Yes
CUST00056,South,0,Two year,No,Electronic check,97.4,90.86,No
CUST00057,West,6,One year,No,Electronic check,64.56,395.19,No
CUST00058,East,56,One year,Fiber optic,Credit card,102.72,5649.82,No
CUST00059,West,57,Month-to-month,DSL,Bank transfer,96.11,5358.82,No
CUST00060,East,56,Month-to-month,DSL,Bank transfer,52.26,3025.93,Yes
CUST00061,South,29,Month-to-month,DSL,Mailed check,24.55,684.28,No
CUST00062,West,7,Month-to-month,Fiber optic,Electronic check,105.39,748.68,Yes
CUST00063,North,45,Month-to-month,Fiber optic,Credit card,72.9,3313.95,No
CUST00064,South,62,Month-to-month,Fiber optic,Electronic check,57.66,3576.1,No
CUST00065,South,59,Two year,No,Electronic check,110.51,6446.96,No
CUST00066,North,54,Month-to-month,Fiber optic,Electronic check,44.54,2282.74,Yes
CUST00067,East,48,Month-to-month,No,Credit card,43.73,1914.92,Yes
CUST00068,North,44,Month-to-month,DSL,Electronic check,94.93,4354.2,Yes
CUST00069,North,19,Month-to-month,Fiber optic,Electronic check,75.52,1338.3,No
CUST00070,East,21,One year,No,Electronic check,97.33,1889.75,No
CUST00071,North,39,One year,No,Credit card,58.46,2296.47,No
CUST00072,South,13,One year,DSL,Electronic check,99.22,1270.37,Yes
CUST00073,West,47,Month-to-month,Fiber optic,Electronic check,104.66,5033.88,Yes
CUST00074,East,58,One year,Fiber optic,Bank transfer,80.82,4865.42,No
CUST00075,West,55,Two year,Fiber optic,Bank transfer,104.87,5909.79,Yes
CUST00076,West,31,One year,Fiber optic,Credit card,52.31,1579.68,No
CUST00077,West,27,Month-to-month,DSL,Bank transfer,107.79,2925.4,Yes
CUST00078,North,66,Two year,DSL,Credit card,67.83,4538.22,No
CUST00079,West,57,One year,DSL,Mailed check,59.25,3162.78,No
CUST00080,East,60,One year,DSL,Bank transfer,53.88,3129.55,No
CUST00081,South,15,One year,DSL,Mailed check,37.54,569.18,No
CUST00082,East,12,Two year,DSL,Bank transfer,36.3,392.96,No
CUST00083,East,5,Two year,Fiber optic,Mailed check,83.06,420.67,Yes
CUST00084,North,36,Month-to-month,Fiber optic,Mailed check,116.48,3932.76,No
CUST00085,North,8,Month-to-month,DSL,Electronic check,33.48,273.64,No
CUST00086,North,31,Month-to-month,Fiber optic,Mailed check,97.12,2881.43,No
CUST00087,East,54,Month-to-month,Fiber optic,Electronic check,114.65,5764.96,Yes
CUST00088,North,20,Month-to-month,Fiber optic,Mailed check,18.27,353.55,No
CUST00089,East,4,Month-to-month,Fiber optic,Credit card,25.26,94.47,Yes
CUST00090,South,54,Month-to-month,DSL,Mailed check,110.66,6119.02,Yes
CUST00091,South,39,One year,No,Bank transfer,62.79,2376.09,No
CUST00092,West,34,Month-to-month,Fiber optic,Electronic check,79.0,2775.75,No
CUST00093,East,3,Month-to-month,No,Electronic check,119.96,360.18,Yes
CUST00094,North,22,Month-to-month,Fiber optic,Bank transfer,36.51,793.42,No
CUST00095,West,11,Month-to-month,Fiber optic,Bank transfer,86.35,977.07,Yes
CUST00096,West,36,One year,Fiber optic,Electronic check,64.39,2195.6,No
CUST00097,West,65,Two year,DSL,Credit card,60.15,3628.79,No
CUST00098,West,56,One year,DSL,Mailed check,112.62,6090.51,No
CUST00099,North,3,Two year,Fiber optic,Mailed check,90.4,256.72,Yes
CUST00100,West,11,Month-to-month,No,Electronic check,65.07,656.8,No
CUST00101,West,37,Month-to-month,DSL,Credit card,117.98,4088.33,No
CUST00102,West,24,Two year,Fiber optic,Mailed check,106.13,2397.95,No
CUST00103,West,43,Two year,Fiber optic,Electronic check,46.85,1903.31,No
CUST00104,West,19,Month-to-month,Fiber optic,Bank transfer,74.3,1385.6,No
CUST00105,East,24,Two year,DSL,Credit card,41.82,1020.07,No
CUST00106,West,48,Month-to-month,Fiber optic,Mailed check,68.52,2978.33,No
CUST00107,East,12,Two year,Fiber optic,Credit card,19.57,216.43,No
CUST00108,South,9,Month-to-month,No,Bank transfer,81.57,704.49,Yes
CUST00109,East,68,Month-to-month,DSL,Credit card,106.98,6586.35,Yes
CUST00110,East,29,One year,Fiber optic,Electronic check,95.56,2786.71,Yes
CUST00111,South,38,Two year,DSL,Electronic check,47.92,1741.25,Yes
CUST00112,West,72,One year,DSL,Mailed check,26.05,1933.04,No
CUST00113,South,63,Two year,DSL,Credit card,83.07,5070.84,No
CUST00114,West,36,One year,DSL,Credit card,114.41,4317.07,No
CUST00115,West,32,Month-to-month,DSL,Credit card,105.04,3078.93,Yes
CUST00116,East,37,Two year,DSL,Credit card,46.0,1676.28,No
CUST00117,North,63,Two year,No,Mailed check,79.92,4797.55,No
CUST00118,East,17,One year,No,Electronic check,49.51,813.16,No
CUST00119,South,11,Two year,DSL,Credit card,35.92,363.44,No
CUST00120,East,67,Month-to-month,DSL,Mailed check,44.21,3032.28,No
CUST00121,East,43,Two year,Fiber optic,Electronic check,32.36,1454.06,No
CUST00122,West,71,Month-to-month,Fiber optic,Electronic check,44.97,2932.77,Yes
CUST00123,East,48,Two year,No,Electronic check,86.83,4045.81,No
CUST00124,East,28,One year,Fiber optic,Credit card,110.76,2931.73,No
CUST00125,South,5,Two year,DSL,Credit card,29.84,139.53,No
CUST00126,West,58,Month-to-month,No,Credit card,77.91,4559.4,No
CUST00127,North,62,One year,No,Bank transfer,21.34,1264.31,No
CUST00128,South,46,Month-to-month,Fiber optic,Bank transfer,24.18,1047.08,No
CUST00129,West,11,One year,Fiber optic,Electronic check,23.16,242.03,No
CUST00130,South,8,Two year,Fiber optic,Mailed check,100.93,754.92,No
CUST00131,North,35,Two year,DSL,Mailed check,73.1,2609.1,No
CUST00132,North,16,Month-to-month,Fiber optic,Mailed check,78.06,1127.02,Yes
CUST00133,South,53,Month-to-month,Fiber optic,Credit card,63.72,3222.84,No
CUST00134,West,64,Month-to-month,Fiber optic,Bank transfer,64.72,4326.83,Yes
CUST00135,West,51,Month-to-month,DSL,Credit card,25.5,1186.21,No
CUST00136,North,16,Month-to-month,Fiber optic,Bank transfer,56.85,900.15,Yes
CUST00137,West,12,One year,DSL,Mailed check,61.87,767.1,No
CUST00138,West,51,Month-to-month,DSL,Credit card,49.88,2386.75,No
CUST00139,West,8,Month-to-month,DSL,Credit card,27.85,225.21,No
CUST00140,North,71,One year,Fiber optic,Credit card,54.07,3838.21,No
CUST00141,North,36,One year,Fiber optic,Mailed check,33.78,1182.43,No
CUST00142,East,71,Month-to-month,Fiber optic,Mailed check,100.34,7314.88,No
CUST00143,North,34,Month-to-month,DSL,Bank transfer,112.0,3627.7,Yes
CUST00144,South,72,One year,DSL,Electronic check,27.36,1929.68,No
CUST00145,West,43,Month-to-month,DSL,Bank transfer,97.24,4119.18,Yes
CUST00146,North,19,Month-to-month,Fiber optic,Electronic check,45.75,868.63,Yes
CUST00147,West,53,Month-to-month,Fiber optic,Electronic check,53.21,2585.03,No
CUST00148,West,67,One year,DSL,Credit card,118.41,7205.31,No
CUST00149,South,17,One year,DSL,Electronic check,18.79,323.28,No
CUST00150,West,68,One year,Fiber optic,Bank transfer,25.35,1774.25,Yes
CUST00151,North,58,Two year,No,Credit card,76.49,4464.92,No
CUST00152,North,51,Month-to-month,DSL,Credit card,102.87,5445.55,Yes
CUST00153,North,31,Month-to-month,Fiber optic,Electronic check,58.37,1712.74,Yes
CUST00154,East,21,Month-to-month,Fiber optic,Mailed check,110.4,2208.06,No
CUST00155,South,30,Month-to-month,DSL,Mailed check,79.44,2416.64,No
CUST00156,South,63,Month-to-month,Fiber optic,Credit card,87.48,5689.29,No
CUST00157,East,40,Month-to-month,DSL,Credit card,82.4,3360.11,No
CUST00158,East,64,Month-to-month,Fiber optic,Electronic check,23.8,1560.91,Yes
CUST00159,North,64,Month-to-month,Fiber optic,Electronic check,63.87,4175.45,No
CUST00160,East,60,Month-to-month,No,Credit card,28.56,1773.35,Yes
CUST00161,North,64,One year,DSL,Credit card,119.08,7458.11,No
CUST00162,East,47,Two year,Fiber optic,Bank transfer,87.25,3722.89,No
CUST00163,East,8,Month-to-month,Fiber optic,Credit card,46.98,379.06,Yes
CUST00164,South,42,Month-to-month,Fiber optic,Bank transfer,49.64,2081.56,No
CUST00165,South,10,Month-to-month,Fiber optic,Bank transfer,100.94,1009.92,Yes
CUST00166,North,54,Month-to-month,DSL,Bank transfer,36.39,1831.69,No
CUST00167,West,24,Month-to-month,DSL,Electronic check,48.17,1177.14,No
CUST00168,North,43,Two year,Fiber optic,Credit card,33.73,1344.7,No
CUST00169,South,56,Month-to-month,Fiber optic,Mailed check,116.9,6491.34,No
CUST00170,West,29,Month-to-month,DSL,Credit card,110.21,2969.49,No
CUST00171,West,59,One year,Fiber optic,Credit card,116.56,7032.01,No
CUST00172,South,32,Month-to-month,Fiber optic,Bank transfer,74.56,2184.04,No
CUST00173,North,36,Month-to-month,DSL,Credit card,110.34,3662.81,Yes
CUST00174,South,57,Two year,No,Credit card,23.43,1302.52,No
CUST00175,North,47,Month-to-month,DSL,Electronic check,103.6,4857.0,No
CUST00176,South,4,Month-to-month,No,Mailed check,95.4,370.29,Yes
CUST00177,North,2,Month-to-month,No,Credit card,29.34,55.35,Yes
CUST00178,North,30,Month-to-month,Fiber optic,Credit card,24.41,750.98,No
CUST00179,North,65,One year,Fiber optic,Bank transfer,61.78,3984.46,No
CUST00180,West,23,One year,DSL,Bank transfer,24.9,560.62,No
CUST00181,North,49,Two year,DSL,Credit card,118.07,5427.01,Yes
CUST00182,North,44,Month-to-month,Fiber optic,Electronic check,96.69,4298.09,Yes
CUST00183,North,45,Month-to-month,No,Mailed check,102.7,4633.99,No
CUST00184,West,23,Two year,DSL,Credit card,21.77,465.78,No
CUST00185,North,40,Two year,Fiber optic,Credit card,43.84,1776.39,No
CUST00186,East,6,Two year,DSL,Electronic check,99.53,576.6,Yes
CUST00187,West,49,Month-to-month,DSL,Credit card,55.47,2771.29,Yes
CUST00188,North,54,Month-to-month,Fiber optic,Mailed check,73.64,3770.5,Yes
CUST00189,East,39,Month-to-month,Fiber optic,Mailed check,88.36,3283.15,Yes
CUST00190,East,55,Month-to-month,No,Electronic check,25.65,1404.58,Yes
CUST00191,South,3,Month-to-month,Fiber optic,Credit card,21.55,58.84,No
CUST00192,East,46,Month-to-month,Fiber optic,Mailed check,87.26,4183.84,Yes
CUST00193,North,17,Month-to-month,Fiber optic,Bank transfer,43.46,677.51,No
CUST00194,West,66,Month-to-month,Fiber optic,Bank transfer,97.05,6441.21,Yes
CUST00195,East,62,Month-to-month,DSL,Electronic check,64.11,4113.15,Yes
CUST00196,North,40,One year,Fiber optic,Bank transfer,108.92,4477.5,No
CUST00197,South,46,Month-to-month,DSL,Mailed check,98.79,4251.28,No
CUST00198,East,70,One year,Fiber optic,Mailed check,80.42,5139.26,No
CUST00199,West,67,Month-to-month,Fiber optic,Electronic check,30.78,1954.1,Yes
CUST00200,West,66,Month-to-month,No,Mailed check,96.31,5843.84,No
CUST00201,North,15,Month-to-month,DSL,Mailed check,50.91,768.54,Yes
CUST00202,East,10,Month-to-month,Fiber optic,Bank transfer,30.77,290.91,Yes
CUST00203,South,19,Month-to-month,Fiber optic,Bank transfer,103.94,1944.33,No
CUST00204,North,10,Month-to-month,Fiber optic,Bank transfer,84.42,856.9,Yes
CUST00205,North,63,Two year,Fiber optic,Bank transfer,67.26,4325.11,No
CUST00206,East,58,Month-to-month,DSL,Credit card,60.39,3396.37,Yes
CUST00207,South,40,Two year,DSL,Bank transfer,117.49,4321.82,No
CUST00208,North,40,Month-to-month,DSL,Credit card,43.29,1583.59,Yes
CUST00209,West,53,Month-to-month,No,Mailed check,100.97,5565.8,No
CUST00210,South,20,Month-to-month,Fiber optic,Credit card,107.67,2098.72,Yes
CUST00211,West,64,Month-to-month,DSL,Bank transfer,22.96,1384.51,No
CUST00212,West,36,Month-to-month,No,Credit card,31.66,1071.0,No
CUST00213,West,46,Month-to-month,DSL,Mailed check,54.98,2385.66,No
CUST00214,West,70,Month-to-month,No,Electronic check,31.12,1992.15,Yes
CUST00215,East,71,Two year,Fiber optic,Mailed check,79.45,5416.49,Yes
CUST00216,North,17,One year,No,Credit card,33.19,583.4,No
CUST00217,East,20,Month-to-month,Fiber optic,Bank transfer,78.56,1533.64,No
CUST00218,West,72,Month-to-month,No,Bank transfer,51.79,3417.3,No
CUST00219,East,3,One year,DSL,Mailed check,91.58,271.31,Yes
CUST00220,West,18,Two year,DSL,Electronic check,37.46,651.46,No
CUST00221,West,26,Month-to-month,Fiber optic,Credit card,107.03,2811.65,Yes
CUST00222,South,66,Month-to-month,DSL,Credit card,71.6,4475.44,Yes
CUST00223,East,69,Month-to-month,Fiber optic,Bank transfer,80.23,5141.94,Yes
CUST00224,East,28,Two year,No,Bank transfer,89.9,2526.1,No
CUST00225,West,44,One year,No,Bank transfer,47.35,2054.28,No
CUST00226,West,44,Two year,No,Bank transfer,22.29,1023.22,No
CUST00227,West,32,One year,DSL,Bank transfer,113.17,3637.47,No
CUST00228,South,31,Month-to-month,No,Mailed check,83.07,2337.93,Yes
CUST00229,West,12,One year,DSL,Mailed check,59.5,742.74,No
CUST00230,West,25,One year,DSL,Bank transfer,83.88,2172.89,Yes
CUST00231,South,68,One year,No,Electronic check,111.15,7000.86,No
CUST00232,South,4,Two year,Fiber optic,Credit card,37.0,149.83,No
CUST00233,East,4,Month-to-month,Fiber optic,Electronic check,112.7,428.38,Yes
CUST00234,West,17,Two year,Fiber optic,Mailed check,100.5,1622.4,No
CUST00235,East,23,Month-to-month,DSL,Bank transfer,75.91,1769.66,Yes
CUST00236,West,54,Month-to-month,DSL,Electronic check,36.85,1832.88,Yes
CUST00237,South,0,Month-to-month,DSL,Bank transfer,115.31,109.0,Yes
CUST00238,North,33,One year,Fiber optic,Electronic check,86.11,2755.84,Yes
CUST00239,East,15,One year,No,Bank transfer,80.69,1129.1,No
CUST00240,South,58,One year,Fiber optic,Credit card,89.6,5388.66,No
CUST00241,South,31,One year,Fiber optic,Electronic check,71.6,2173.49,No
CUST00242,North,7,Two year,No,Mailed check,76.42,493.47,No
CUST00243,West,14,One year,Fiber optic,Credit card,27.28,372.97,No
CUST00244,West,16,Month-to-month,Fiber optic,Electronic check,75.0,1201.1,Yes
CUST00245,North,50,Month-to-month,DSL,Mailed check,76.99,3490.7,Yes
CUST00246,North,69,Two year,No,Electronic check,118.59,7943.86,No
CUST00247,South,17,One year,No,Credit card,56.2,987.6,No
CUST00248,West,48,Month-to-month,No,Mailed check,84.66,3869.3,Yes
CUST00249,West,67,Month-to-month,No,Electronic check,95.13,6671.83,Yes
CUST00250,West,68,Month-to-month,DSL,Credit card,53.31,3412.46,No
CUST00251,North,4,Two year,Fiber optic,Electronic check,42.55,154.9,No
CUST00252,West,6,Month-to-month,DSL,Credit card,41.9,234.45,No
CUST00253,North,17,Month-to-month,DSL,Bank transfer,76.9,1328.06,No
CUST00254,South,38,Two year,No,Mailed check,60.18,2152.54,No
CUST00255,South,54,One year,DSL,Bank transfer,114.04,6162.48,No
CUST00256,East,53,Month-to-month,DSL,Mailed check,94.95,4886.55,No
CUST00257,East,18,Two year,No,Credit card,116.71,2066.31,No
CUST00258,South,32,Month-to-month,Fiber optic,Credit card,104.41,3053.35,No
CUST00259,South,6,Month-to-month,Fiber optic,Electronic check,107.11,596.53,Yes
CUST00260,South,61,Month-to-month,No,Bank transfer,115.62,6363.76,No
CUST00261,North,61,Two year,Fiber optic,Mailed check,58.46,3337.47,No
CUST00262,East,48,Month-to-month,Fiber optic,Bank transfer,44.68,2095.15,No
CUST00263,North,60,One year,DSL,Mailed check,55.81,3221.65,No
CUST00264,South,18,Month-to-month,Fiber optic,Credit card,48.11,804.87,Yes
CUST00265,South,63,One year,No,Bank transfer,44.25,2852.53,No
CUST00266,West,58,Month-to-month,Fiber optic,Mailed check,32.28,1838.51,Yes
CUST00267,North,67,Month-to-month,No,Electronic check,95.96,6184.1,No
CUST00268,South,8,One year,DSL,Credit card,56.07,445.27,No
CUST00269,West,62,Month-to-month,Fiber optic,Credit card,19.21,1166.5,Yes
CUST00270,East,2,Month-to-month,Fiber optic,Credit card,100.23,207.77,Yes
CUST00271,North,67,Month-to-month,DSL,Bank transfer,101.15,6371.1,Yes
CUST00272,East,51,Month-to-month,DSL,Mailed check,48.6,2538.61,Yes
CUST00273,North,11,Month-to-month,Fiber optic,Credit card,23.72,235.2,Yes
CUST00274,West,55,One year,DSL,Electronic check,109.27,6237.46,Yes
CUST00275,West,34,Month-to-month,DSL,Bank transfer,109.73,3673.09,Yes
CUST00276,East,2,Two year,Fiber optic,Credit card,112.75,213.07,No
CUST00277,West,69,Month-to-month,Fiber optic,Mailed check,98.63,6828.59,Yes
CUST00278,East,6,Month-to-month,DSL,Electronic check,52.74,321.3,No
CUST00279,West,41,Month-to-month,DSL,Credit card,68.04,2659.56,No
CUST00280,West,23,One year,Fiber optic,Electronic check,96.76,2101.54,Yes
CUST00281,North,10,Month-to-month,Fiber optic,Mailed check,93.44,885.35,Yes
CUST00282,North,39,Month-to-month,Fiber optic,Electronic check,31.52,1140.91,Yes
CUST00283,West,13,Month-to-month,Fiber optic,Electronic check,78.89,1043.69,No
CUST00284,North,37,Month-to-month,Fiber optic,Mailed check,76.34,2613.97,Yes
CUST00285,South,34,Month-to-month,Fiber optic,Electronic check,35.06,1122.18,Yes
CUST00286,North,46,Month-to-month,DSL,Credit card,78.57,3358.81,Yes
CUST00287,East,0,Two year,DSL,Credit card,100.02,94.96,Yes
CUST00288,South,38,Month-to-month,No,Mailed check,66.86,2354.31,No
CUST00289,East,37,One year,Fiber optic,Mailed check,51.24,1786.0,No
CUST00290,East,14,Two year,DSL,Mailed check,87.53,1203.99,No
CUST00291,West,26,Month-to-month,DSL,Electronic check,101.53,2690.86,Yes
CUST00292,West,17,One year,DSL,Mailed check,90.95,1574.54,Yes
CUST00293,West,51,Month-to-month,No,Credit card,73.45,3815.66,No
CUST00294,North,13,One year,Fiber optic,Bank transfer,34.97,450.93,No
CUST00295,West,42,Two year,Fiber optic,Electronic check,28.06,1099.91,No
CUST00296,South,57,Month-to-month,Fiber optic,Mailed check,53.19,2739.82,Yes
CUST00297,West,10,Month-to-month,No,Mailed check,53.53,509.32,No
CUST00298,West,44,Month-to-month,Fiber optic,Credit card,50.53,2101.13,No
CUST00299,North,2,Two year,Fiber optic,Mailed check,112.85,228.2,No
CUST00300,South,42,One year,No,Mailed check,99.37,4150.44,No
CUST00301,West,50,Month-to-month,Fiber optic,Mailed check,63.86,3079.43,Yes
CUST00302,South,26,Month-to-month,Fiber optic,Electronic check,76.89,2038.97,Yes
CUST00303,East,41,Month-to-month,DSL,Credit card,71.83,2932.86,No
CUST00304,West,14,Month-to-month,No,Mailed check,101.0,1422.34,Yes
CUST00305,North,17,Month-to-month,DSL,Electronic check,36.67,625.89,No
CUST00306,West,17,One year,Fiber optic,Credit card,82.82,1413.59,No
CUST00307,South,71,Month-to-month,DSL,Mailed check,50.09,3441.34,Yes
CUST00308,East,1,Month-to-month,DSL,Credit card,116.31,113.5,Yes
CUST00309,West,53,One year,Fiber optic,Mailed check,26.43,1267.2,No
CUST00310,East,4,Month-to-month,Fiber optic,Mailed check,97.64,384.64,Yes
CUST00311,West,70,Month-to-month,Fiber optic,Bank transfer,97.06,6953.81,Yes
CUST00312,North,56,Month-to-month,No,Electronic check,93.07,5201.76,Yes
CUST00313,North,57,Month-to-month,No,Electronic check,62.79,3754.74,No
CUST00314,South,26,Two year,Fiber optic,Bank transfer,105.83,2728.3,No
CUST00315,South,26,Two year,No,Bank transfer,72.29,1859.86,No
CUST00316,East,37,One year,No,Electronic check,31.83,1192.45,No
CUST00317,North,35,Two year,DSL,Mailed check,43.47,1531.66,No
CUST00318,West,62,Month-to-month,Fiber optic,Credit card,56.27,3179.38,No
CUST00319,North,51,Month-to-month,DSL,Bank transfer,64.38,3195.41,No
CUST00320,North,58,One year,Fiber optic,Electronic check,99.16,5519.26,No
CUST00321,South,63,Month-to-month,No,Bank transfer,73.83,4277.28,No
CUST00322,East,6,Month-to-month,Fiber optic,Credit card,19.66,122.61,Yes
CUST00323,West,0,Two year,Fiber optic,Mailed check,107.98,102.07,No
CUST00324,East,11,One year,DSL,Bank transfer,85.78,941.07,Yes
CUST00325,East,29,Month-to-month,DSL,Electronic check,18.11,510.23,Yes
CUST00326,South,66,One year,DSL,Bank transfer,101.35,7011.67,No
CUST00327,South,61,Month-to-month,Fiber optic,Electronic check,28.53,1662.25,Yes
CUST00328,West,17,One year,Fiber optic,Electronic check,72.11,1104.84,No
CUST00329,West,44,One year,Fiber optic,Mailed check,111.83,4883.18,No
CUST00330,South,11,Two year,DSL,Electronic check,78.14,823.1,No
CUST00331,East,17,Month-to-month,Fiber optic,Mailed check,74.45,1252.99,No
CUST00332,North,38,Month-to-month,Fiber optic,Mailed check,94.28,3383.2,Yes
CUST00333,South,63,Month-to-month,DSL,Electronic check,71.89,4740.37,No
CUST00334,East,16,Month-to-month,No,Credit card,55.27,886.48,No
CUST00335,North,2,One year,DSL,Mailed check,22.06,40.11,No
CUST00336,East,64,One year,Fiber optic,Credit card,26.41,1657.25,No
CUST00337,East,10,Month-to-month,Fiber optic,Mailed check,117.38,1083.78,Yes
CUST00338,North,39,One year,Fiber optic,Mailed check,23.91,851.3,No
CUST00339,West,7,Month-to-month,Fiber optic,Mailed check,30.18,212.57,Yes
CUST00340,South,63,Two year,Fiber optic,Bank transfer,35.03,2028.22,No
CUST00341,East,15,One year,DSL,Credit card,45.74,624.06,No
CUST00342,North,63,Month-to-month,Fiber optic,Credit card,105.65,6156.97,Yes
CUST00343,North,14,Month-to-month,Fiber optic,Electronic check,105.59,1333.16,Yes
CUST00344,East,49,Two year,DSL,Electronic check,74.39,3780.31,No
CUST00345,West,28,Month-to-month,Fiber optic,Bank transfer,45.67,1165.82,Yes
CUST00346,North,22,Month-to-month,Fiber optic,Electronic check,115.32,2309.57,Yes
CUST00347,East,39,Month-to-month,Fiber optic,Electronic check,55.63,2047.51,No
CUST00348,South,59,Month-to-month,No,Mailed check,92.71,5371.34,No
CUST00349,South,0,Two year,DSL,Bank transfer,82.87,83.2,Yes
CUST00350,East,0,One year,Fiber optic,Bank transfer,28.6,28.01,Yes
CUST00351,West,7,Two year,DSL,Bank transfer,27.49,199.78,No
CUST00352,West,47,Month-to-month,Fiber optic,Electronic check,69.55,3254.41,Yes
CUST00353,North,55,One year,DSL,Bank transfer,44.62,2324.65,No
CUST00354,East,40,Month-to-month,DSL,Mailed check,31.88,1294.99,Yes
CUST00355,North,21,Month-to-month,DSL,Electronic check,72.66,1594.06,Yes
CUST00356,East,59,Month-to-month,DSL,Mailed check,100.37,5599.87,No
CUST00357,North,27,Two year,DSL,Electronic check,90.54,2555.22,No
CUST00358,North,38,Month-to-month,No,Electronic check,115.11,4497.49,Yes
CUST00359,South,12,Month-to-month,No,Mailed check,30.39,331.59,No
CUST00360,South,16,Month-to-month,Fiber optic,Electronic check,77.4,1162.64,No
CUST00361,North,8,Month-to-month,Fiber optic,Mailed check,27.38,224.97,No
CUST00362,North,5,Two year,DSL,Credit card,101.81,488.31,Yes
CUST00363,West,22,Month-to-month,No,Bank transfer,46.55,1057.4,Yes
CUST00364,South,37,Month-to-month,No,Credit card,24.22,844.13,Yes
CUST00365,South,67,Month-to-month,No,Electronic check,118.92,8105.38,Yes
CUST00366,West,44,Two year,Fiber optic,Credit card,45.58,1812.81,No
